Boat Name,Sail No,Cert No,Issue Date,Cert Year,TCC,Endorsed,Dayboat,Short Handed,Non Spi TCC,Crew,DLR,LH,Beam,Draft,Headsails,Series Date,Age Date,Racing Area,SSS Base Value,STIX,AVS,Category,ValidCode
MYUNA,F436,5931,08/04/2015,2014,1.006,E,,,0.988,11,220,12.58,4.01,2.41,Single,1982,1982,405,41,0,0,0,Yes
O'BLUEYES,SIN818,5994,11/07/2014,2014,0.948,,,,0.928,7,170,8.94,3.3,1.83,Multiple,1981,1985,414,24,0,0,0,Yes
GAMBIT,HKG1612,6178,24/03/2015,2014,1.025,E,,,0.99,6,118,8.85,2.93,2.11,Multiple,1987,1987,410,17,0,0,0,Yes
R.B.,HKG1030,6182,12/06/2014,2014,1.006,,,,0.996,8,245,11.12,3.65,1.91,Multiple,1981,1981,410,28,0,0,0,Yes
OUTRAGEOUS,HKG818,6222,05/06/2014,2014,1.116,,,,1.101,12,204,13.23,4.13,2.47,Multiple,1987,1987,410,30,0,0,0,Yes
FARRAGO,SP196,6254,04/09/2014,2014,1.028,E,,,1.013,11,208,12.93,4.09,2.38,Multiple,1977,1977,405,43,0,0,0,Yes
BORN IN FIRE TOO,SIN1637,6255,27/02/2015,2014,0.992,,,,0.975,7,181,10,3,1.79,Multiple,1985,1988,414,20,24,111,A,Yes
TEMUJIN,HKG1380,6258,05/06/2014,2014,0.997,,,,0.985,9,182,11.58,3.35,1.9,Multiple,1980,1988,410,33,0,0,0,Yes
INTRIGUE PLUS,HKG300,6322,05/06/2014,2014,1.06,,,,1.049,10,157,12.34,3.35,1.88,Single+H/W Jib,1987,1990,410,26,0,0,0,Yes
RAINBOW DREAM,19,6329,13/08/2014,2014,0.957,,,,0.945,8,187,10.55,3.32,1.87,Single+H/W Jib,1986,1989,414,29,0,0,0,Yes
AUSTRALIAN MAID,AUS4100,6342,14/08/2014,2014,1.173,E,,,1.148,16,139,16.79,4.46,2.93,Multiple,1980,1980,406,49,0,0,0,Yes
NEXT PAGE,SIN2626,6358,13/08/2014,2014,0.98,,,,0.966,8,264,11.02,3.57,2,Multiple,1986,1990,414,33,0,0,0,Yes
AMANDA,KS5656,6375,13/02/2015,2014,0.91,,,,0.894,7,327,9.78,3.36,1.78,Multiple,1975,1978,414,34,0,0,0,Yes
SEA BASS,42029,6401,13/08/2014,2014,1.01,,,,0.996,11,285,12.8,3.95,2.43,Multiple,1980,1983,414,43,27,107,B,Yes
BOBBI BOTOK,MAS345,6409,12/11/2014,2014,0.913,,,,0.901,6,152,7.85,2.45,1.71,Multiple,1982,1984,414,10,0,0,0,Yes
BEAUX ESPRITS,HKG1683,6438,11/07/2014,2014,1.046,,,,1.033,10,226,12.47,3.92,2.1,Multiple,1990,1991,414,34,0,0,0,Yes
CABARET 6,MAS33,6440,24/10/2014,2014,0.946,,,,0.936,8,253,10.65,3.25,2.02,Multiple,1983,1984,414,31,0,0,0,Yes
SIMBA,SIN5438,6506,09/07/2014,2014,0.974,,,,0.954,10,207,11.78,3.8,1.93,Single,1987,1991,414,39,0,0,0,Yes
SHEARWATER V,HKG21,6565,05/06/2014,2014,0.976,,,,0.967,10,252,11.99,4.05,1.65,Multiple,1988,1991,410,42,0,0,0,Yes
RAMPAGE,HKG1822,6584,06/06/2014,2014,1.077,,,,1.067,10,186,12.12,3.69,2.39,Multiple,1990,1992,410,31,0,0,0,Yes
VOADOR,GBR722R,6604,05/03/2015,2015,1.006,E,,,0.984,8,153,10.5,3.35,1.98,Multiple,1991,1993,101,23,33,120,A,Yes
BIGFOOT,MLT105,6605,02/04/2015,2015,1.007,,,,0.983,8,153,10.5,3.35,1.99,Single+H/W Jib,1991,1993,101,24,33,120,A,Yes
LEAPFROG,GBR1594T,6646,26/01/2015,2015,0.932,,,,0.921,8,288,10.95,3.48,1.45,Single,1980,1988,115,37,0,0,0,Yes
JAZZ,GBR9293R,6653,25/02/2015,2015,0.977,E,,,0.956,7,167,9.14,3.05,1.79,Multiple,1992,1993,105,17,31,129,B,Yes
WINDSTAR,57,6663,11/07/2014,2014,0.941,,,,0.925,11,316,12.8,3.3,1.98,Single,1964,1967,414,43,0,0,0,Yes
BEAUTIFUL ZELDA,GBR1666,6676,20/03/2015,2015,1.094,E,,,1.075,8,194,10.74,3.51,2.1,Single+H/W Jib,2001,2009,101,24,33,121,A,Yes
ALICE'S MIRROR,GBR4656T,6692,10/03/2015,2015,1,,,,0.991,7,130,9.86,2.64,2.02,Multiple,1982,2002,105,17,0,0,0,Yes
RUSH,GBR4530T,6715,13/01/2015,2015,0.955,E,,,0.945,8,278,10.75,3.43,2.11,Multiple,1990,1991,104,35,0,0,0,Yes
TWEAK,4343C,6732,15/04/2015,2015,1.012,,,,0.998,8,162,10.6,3.5,1.95,Multiple,1991,1993,101,25,32,122,A,Yes
XARIFA,GBR4698T,6743,21/04/2015,2015,0.946,E,,,0.935,8,289,10.22,3.28,1.85,Multiple,1988,1989,101,29,0,0,0,Yes
POPPY OF BRIGHTON,GBR4183,6745,14/04/2015,2015,0.914,,,,0.902,7,330,10.01,3.16,1.88,Single+H/W Jib,1975,1977,108,35,0,0,0,Yes
CRAKAJAX,GBR4080T,6750,13/03/2015,2015,0.903,,,,0.89,7,291,9.25,3.23,1.75,Multiple,1982,1984,101,25,0,0,0,Yes
ALPHIDA OF HOWTH,IRL1517,6806,30/03/2015,2015,0.95,E,,,0.937,7,243,10.01,3.49,1.9,Multiple,1984,1985,118,31,0,0,0,Yes
